image_path,breed,label
cattle\Kangayam\Kangayam_87.jpg,Kangayam,16
cattle\Purnea\image_275x183_35.jpg,Purnea,35
cattle\Lakhimi\image_271x186_51 (2).jpg,Lakhimi,25
cattle\Umblachery\image_168x300_36 (2).jpg,Umblachery,44
cattle\ponwar\image_299x168_10.jpg,ponwar,57
cattle\Shweta Kapila\image_239x211_54.jpg,Shweta Kapila,41
cattle\Purnea\image_259x194_48.jpg,Purnea,35
cattle\malvi\image_317x159_72.jpg,malvi,54
cattle\motu\image_300x168_38.jpg,motu,55
cattle\Poda Thirupu\image_168x300_38.jpg,Poda Thirupu,32
cattle\gaolao\Care_for_Cows.jpg,gaolao,51
cattle\Ladakhi\image_259x194_15.jpg,Ladakhi,24
cattle\Gir\Gir_68.jpg,Gir,8
cattle\Sahiwal\Sahiwal_80.jpg,Sahiwal,40
cattle\Ladakhi\image_299x168_8.jpg,Ladakhi,24
cattle\Red kandhari\image_267x189_6 (2).jpg,Red kandhari,37
cattle\Nagpuri\Nagpuri_161.jpg,Nagpuri,29
cattle\Pulikulam\Pulikulam_118.jpg,Pulikulam,33
cattle\Holstein_Friesian\Holstein_Friesian_153.jpg,Holstein_Friesian,13
cattle\Umblachery\image_259x194_4 (2).jpg,Umblachery,44
cattle\Nari\image_275x183_50.jpg,Nari,30
cattle\kherigarh\image_154x326_1.jpg,kherigarh,53
cattle\Ayrshire\Ayrshire_2.jpg,Ayrshire,2
cattle\Dangi\image_275x183_46.jpg,Dangi,6
cattle\Poda Thirupu\image_225x225_33.jpg,Poda Thirupu,32
cattle\Red_Sindhi\Red_Sindhi_160.png,Red_Sindhi,39
cattle\thutho\image_276x183_40.jpg,thutho,59
cattle\Alambadi\Alambadi_68.png,Alambadi,0
cattle\dagri\ezgif-frame-075.jpg,dagri,49
cattle\Nagpuri\Nagpuri_36.jpg,Nagpuri,29
cattle\Hariana\Hariana_119.jpg,Hariana,11
cattle\Khillari\Khillari_2.JPG,Khillari,20
cattle\kherigarh\image_275x183_6 (3).jpg,kherigarh,53
cattle\Red kandhari\image_283x178_11.jpg,Red kandhari,37
cattle\Ongole\Ongole_189.jpg,Ongole,31
cattle\Ayrshire\Ayrshire_91.jpg,Ayrshire,2
cattle\dagri\image_259x194_11.jpg,dagri,49
cattle\bhelai\ezgif-frame-128.jpg,bhelai,48
cattle\Ladakhi\image_292x173_1.jpg,Ladakhi,24
cattle\gangatari\UP-_.jpg,gangatari,50
cattle\Toda\Toda_11.jpg,Toda,43
cattle\Ladakhi\image_300x168_3 (2).jpg,Ladakhi,24
cattle\Khillari\Khillari_64.jpg,Khillari,20
cattle\Vechur\00000386.jpg,Vechur,45
cattle\Brown_Swiss\Brown_Swiss_156.jpg,Brown_Swiss,5
cattle\Red_Dane\Red_Dane_156.jpg,Red_Dane,38
cattle\ponwar\image_168x300_58.jpg,ponwar,57
cattle\Ongole\Ongole_193.jpg,Ongole,31
cattle\Red_Dane\Red_Dane_166.jpg,Red_Dane,38
cattle\Sahiwal\Sahiwal_5.JPG,Sahiwal,40
cattle\badri\SINGLE_BREED_VEDIC_A2_GHEE_BADRI_COW_ (1).jpg,badri,47
cattle\Vechur\00000245.jpg,Vechur,45
cattle\Purnea\image_259x194_18 (2).jpg,Purnea,35
cattle\Ayrshire\Ayrshire_173.jpg,Ayrshire,2
cattle\Shweta Kapila\image_259x194_35 (2).jpg,Shweta Kapila,41
cattle\Punganur\image_168x300_6.jpg,Punganur,34
cattle\Dangi\00000149.jpg,Dangi,6
cattle\Kangayam\image_299x168_54.jpg,Kangayam,16
cattle\Konkan Kapila\image_259x194_6 (2).jpg,Konkan Kapila,21
cattle\Shweta Kapila\image_225x225_41.jpg,Shweta Kapila,41
cattle\Amritmahal\image_259x194_34.jpg,Amritmahal,1
cattle\Amritmahal\image_226x223_50.jpg,Amritmahal,1
cattle\Rathi\00000158.png,Rathi,36
cattle\Holstein_Friesian\Holstein_Friesian_171.jpg,Holstein_Friesian,13
cattle\Murrah\Murrah_24.jpeg,Murrah,28
cattle\ponwar\image_259x194_52.jpg,ponwar,57
cattle\Ongole\Ongole_102.png,Ongole,31
cattle\Red kandhari\image_266x190_3 (3).jpg,Red kandhari,37
cattle\Bargur\image_275x183_51.jpeg,Bargur,4
cattle\Amritmahal\Amritmahal_28.png,Amritmahal,1
cattle\nagori\image_259x194_26.jpg,nagori,56
cattle\Sahiwal\Sahiwal_352.png,Sahiwal,40
cattle\Brown_Swiss\Brown_Swiss_203.jpg,Brown_Swiss,5
cattle\dagri\image_259x194_9 (2).jpg,dagri,49
cattle\Himachali Pahari\image_299x168_40.jpg,Himachali Pahari,12
cattle\Jaffrabadi\Jaffrabadi_80.jpg,Jaffrabadi,14
cattle\ponwar\image_125x83_60.jpg,ponwar,57
cattle\kherigarh\image_183x275_1.jpg,kherigarh,53
cattle\Kangayam\image_194x259_46.jpg,Kangayam,16
cattle\malvi\image_275x183_38.jpg,malvi,54
cattle\Ongole\Ongole_118.png,Ongole,31
cattle\Tharparkar\Tharparkar_128.jpg,Tharparkar,42
cattle\Purnea\image_259x194_15 (5).jpg,Purnea,35
cattle\Khariar\image_290x174_1.jpg,Khariar,19
cattle\Shweta Kapila\image_322x156_60.jpg,Shweta Kapila,41
cattle\Purnea\image_299x168_62.jpg,Purnea,35
cattle\Deoni\Screenshot 2025-09-25 031938.png,Deoni,7
cattle\Ayrshire\Ayrshire_157.jpg,Ayrshire,2
cattle\Red kandhari\image_225x225_43.jpg,Red kandhari,37
cattle\Kosali\image_298x169_3 (2).jpg,Kosali,22
cattle\badri\Visually_searched_image.jpg,badri,47
cattle\Purnea\image_168x300_55.jpg,Purnea,35
cattle\Ongole\Ongole_185.png,Ongole,31
cattle\Kenkatha\image_205x367_38.jpg,Kenkatha,18
cattle\bachaur\Panchagavya_Fertilizer_Plants_Growth_.jpg,bachaur,46
cattle\kherigarh\image_221x229_8.jpg,kherigarh,53
cattle\Khillari\Khillari_14.jpg,Khillari,20
cattle\Gir\Gir_247.jpg,Gir,8
cattle\Konkan Kapila\image_277x182_1.jpg,Konkan Kapila,21
cattle\ghumsari\Ongole_165.jpg,ghumsari,52
cattle\Sahiwal\Sahiwal_404.jpg,Sahiwal,40
cattle\Hallikar\Hallikar_164.jpg,Hallikar,10
cattle\Umblachery\Umblachery_12.png,Umblachery,44
cattle\Shweta Kapila\image_168x300_59.jpg,Shweta Kapila,41
cattle\Amritmahal\image_258x195_32.jpg,Amritmahal,1
cattle\Red_Dane\Red_Dane_57.jpg,Red_Dane,38
cattle\motu\image_192x144_65.jpg,motu,55
cattle\Murrah\Murrah_171.jpg,Murrah,28
cattle\nagori\image_201x251_35.jpg,nagori,56
cattle\kherigarh\image_238x212_3.jpg,kherigarh,53
cattle\Kankrej\Kankrej_145.jpg,Kankrej,17
cattle\Ongole\Ongole_64.png,Ongole,31
cattle\Gir\Gir_147.jpg,Gir,8
cattle\Sahiwal\Sahiwal_42.jpeg,Sahiwal,40
cattle\Mewati\image_259x194_20 (3).jpg,Mewati,27
cattle\Gir\Gir_331.png,Gir,8
cattle\Toda\Toda_30.jpg,Toda,43
cattle\Mewati\image_194x259_46.jpg,Mewati,27
cattle\siri\image_303x166_52.jpg,siri,58
cattle\Pulikulam\Pulikulam_54.jpg,Pulikulam,33
cattle\Kankrej\Kankrej_110.jpg,Kankrej,17
cattle\nagori\image_194x259_24.jpg,nagori,56
cattle\bhelai\ezgif-frame-087.jpg,bhelai,48
cattle\Red kandhari\image_378x133_61.jpg,Red kandhari,37
cattle\Red_Sindhi\Red_Sindhi_11.png,Red_Sindhi,39
cattle\Kenkatha\image_225x225_29.jpg,Kenkatha,18
cattle\Poda Thirupu\image_169x299_39.jpg,Poda Thirupu,32
cattle\Brown_Swiss\Brown_Swiss_174.jpg,Brown_Swiss,5
cattle\Kenkatha\image_277x182_56.jpg,Kenkatha,18
cattle\Mewati\image_259x194_20 (2).jpg,Mewati,27
cattle\Ayrshire\Ayrshire_37.jpg,Ayrshire,2
cattle\gangatari\image_259x194_21.jpg,gangatari,50
cattle\Red_Sindhi\Red_Sindhi_54.jpg,Red_Sindhi,39
cattle\Hariana\Hariana_112.png,Hariana,11
cattle\Bargur\Bargur_29.jpg,Bargur,4
cattle\Nagpuri\Nagpuri_156.jpg,Nagpuri,29
cattle\Brown_Swiss\Brown_Swiss_137.jpg,Brown_Swiss,5
cattle\kherigarh\image_225x225_1.jpg,kherigarh,53
cattle\ponwar\image_240x210_56.jpg,ponwar,57
cattle\Tharparkar\Tharparkar_48.png,Tharparkar,42
cattle\Tharparkar\Tharparkar_200.jpg,Tharparkar,42
cattle\Murrah\Murrah_81.jpg,Murrah,28
cattle\Himachali Pahari\image_251x200_14.jpg,Himachali Pahari,12
cattle\Deoni\Deoni_54.png,Deoni,7
cattle\Jersey\Jersey_13.jpg,Jersey,15
cattle\Jaffrabadi\Jaffrabadi_71.png,Jaffrabadi,14
cattle\Kenkatha\image_225x225_47 (2).jpg,Kenkatha,18
cattle\Hariana\Hariana_22.png,Hariana,11
cattle\motu\image_250x165_54.jpg,motu,55
cattle\Rathi\00000383.jpg,Rathi,36
cattle\Amritmahal\Amritmahal_75.jpg,Amritmahal,1
cattle\badri\image_120x90_56.jpg,badri,47
cattle\ponwar\image_265x190_23.jpg,ponwar,57
cattle\Gir\Gir_250.jpg,Gir,8
cattle\Purnea\image_275x183_34.jpg,Purnea,35
cattle\Himachali Pahari\image_225x225_38.jpg,Himachali Pahari,12
cattle\Umblachery\image_225x225_23 (2).jpg,Umblachery,44
cattle\Konkan Kapila\image_299x169_1.jpg,Konkan Kapila,21
cattle\ghumsari\image_259x194_33.jpg,ghumsari,52
cattle\Khariar\image_225x225_4.jpg,Khariar,19
cattle\Bargur\image_257x196_25.jpg,Bargur,4
cattle\Nagpuri\Nagpuri_163.jpg,Nagpuri,29
cattle\ponwar\image_213x237_59.jpg,ponwar,57
cattle\Alambadi\Alambadi_15.jpg,Alambadi,0
cattle\Dangi\image_168x300_53.jpg,Dangi,6
cattle\badri\image_187x269_55.jpg,badri,47
cattle\siri\image_335x150_55.jpg,siri,58
cattle\Bargur\Bargur_89.png,Bargur,4
cattle\Ayrshire\Ayrshire_178.jpg,Ayrshire,2
cattle\Shweta Kapila\image_300x168_41.jpg,Shweta Kapila,41
cattle\Poda Thirupu\image_242x208_50.jpg,Poda Thirupu,32
cattle\Hariana\Hariana_42.jpg,Hariana,11
cattle\Lakhimi\image_300x168_45.jpg,Lakhimi,25
cattle\Umblachery\Umblachery_65.png,Umblachery,44
cattle\Punganur\Punganur_CowThe_Dwarf_Cow_.jpg,Punganur,34
cattle\ghumsari\Screenshot 2025-09-24 191820.png,ghumsari,52
cattle\Poda Thirupu\image_259x194_30.jpg,Poda Thirupu,32
cattle\bachaur\image_275x183_58.jpg,bachaur,46
cattle\bachaur\image_168x300_1.jpg,bachaur,46
cattle\Himachali Pahari\image_300x168_1.jpg,Himachali Pahari,12
cattle\Rathi\00000015.jpg,Rathi,36
cattle\Holstein_Friesian\Holstein_Friesian_187.jpg,Holstein_Friesian,13
cattle\ghumsari\Screenshot 2025-09-24 191742.png,ghumsari,52
cattle\Red kandhari\image_275x183_18.jpg,Red kandhari,37
cattle\Shweta Kapila\image_194x259_54.jpg,Shweta Kapila,41
cattle\Gir\Gir_116.jpg,Gir,8
cattle\Ayrshire\Ayrshire_123.jpg,Ayrshire,2
cattle\Gir\Gir_358.jpg,Gir,8
cattle\bachaur\image_300x168_7.jpg,bachaur,46
cattle\Jersey\Jersey_112.jpg,Jersey,15
cattle\gaolao\Ongole_79.jpg,gaolao,51
cattle\bachaur\image_295x171_3.jpg,bachaur,46
cattle\kherigarh\image_275x183_5.jpg,kherigarh,53
cattle\Khariar\image_168x300_2.jpg,Khariar,19
cattle\Sahiwal\Sahiwal_58.jpg,Sahiwal,40
cattle\Mewati\image_259x194_7 (3).jpg,Mewati,27
cattle\Ongole\Ongole_107.png,Ongole,31
cattle\nagori\image_194x259_35.jpg,nagori,56
cattle\Red kandhari\Visually_searched_image.jpg,Red kandhari,37
cattle\motu\image_264x191_5.jpg,motu,55
cattle\Vechur\00000278.jpg,Vechur,45
cattle\Khariar\image_225x225_5.jpg,Khariar,19
cattle\nagori\image_300x168_44.jpg,nagori,56
cattle\gangatari\image_259x194_16.jpg,gangatari,50
cattle\Sahiwal\Sahiwal_382.png,Sahiwal,40
cattle\Lakhimi\image_168x300_5.jpg,Lakhimi,25
cattle\badri\Types_of_Desi_Cow_Breeds_in_India_.jpg,badri,47
cattle\Purnea\image_262x193_31.jpg,Purnea,35
cattle\Vechur\00000307.jpg,Vechur,45
cattle\siri\image_205x161_42.jpg,siri,58
cattle\nagori\image_259x194_46.jpg,nagori,56
cattle\gangatari\image_225x225_32.jpg,gangatari,50
cattle\Sahiwal\Sahiwal_111.jpg,Sahiwal,40
cattle\Hallikar\Hallikar_163.png,Hallikar,10
cattle\Guernsey\Guernsey_13.jpg,Guernsey,9
cattle\kherigarh\image_249x202_2.jpg,kherigarh,53
cattle\Gir\Gir_307.jpg,Gir,8
cattle\Gir\Gir_265.jpg,Gir,8
cattle\Khariar\image_259x194_29.jpg,Khariar,19
cattle\ponwar\image_259x194_22 (3).jpg,ponwar,57
cattle\Murrah\Murrah_172.jpg,Murrah,28
cattle\Vechur\Screenshot (305).png,Vechur,45
cattle\Kosali\image_300x168_2.jpg,Kosali,22
cattle\ponwar\image_259x194_34.jpg,ponwar,57
cattle\Kenkatha\image_120x90_67.jpg,Kenkatha,18
cattle\Gir\Gir_351.png,Gir,8
cattle\Krishna_Valley\Krishna_Valley_9.jpg,Krishna_Valley,23
cattle\Jaffrabadi\Jaffrabadi_63.png,Jaffrabadi,14
cattle\Ongole\Ongole_137.jpg,Ongole,31
cattle\ponwar\image_259x194_47.jpg,ponwar,57
cattle\Sahiwal\Sahiwal_99.jpg,Sahiwal,40
cattle\Deoni\Deoni_78.png,Deoni,7
cattle\Vechur\00000171.jpg,Vechur,45
cattle\Malnad_gidda\Screenshot (1148).png,Malnad_gidda,26
cattle\Red kandhari\image_266x190_4 (3).jpg,Red kandhari,37
cattle\siri\image_222x122_57.jpg,siri,58
cattle\Mewati\image_259x194_23 (2).jpg,Mewati,27
cattle\gaolao\0469.jpg,gaolao,51
cattle\Konkan Kapila\image_168x300_2.jpg,Konkan Kapila,21
cattle\ghumsari\image_168x300_7.jpg,ghumsari,52
cattle\Ayrshire\Ayrshire_82.jpg,Ayrshire,2
cattle\Purnea\image_259x194_21.jpg,Purnea,35
cattle\thutho\image_259x194_3.jpg,thutho,59
cattle\Pulikulam\Pulikulam_70.jpg,Pulikulam,33
cattle\Umblachery\image_194x259_49.jpg,Umblachery,44
cattle\Kangayam\Kangayam_45.jpg,Kangayam,16
cattle\Sahiwal\Sahiwal_203.jpg,Sahiwal,40
cattle\Red kandhari\image_300x168_47.jpg,Red kandhari,37
cattle\Kosali\image_259x194_5 (3).jpg,Kosali,22
cattle\Red_Dane\Red_Dane_118.jpg,Red_Dane,38
cattle\Red kandhari\image_271x186_9.jpg,Red kandhari,37
cattle\gaolao\Ongole_168.jpg,gaolao,51
cattle\siri\image_204x246_67.jpg,siri,58
cattle\malvi\image_225x225_50.jpg,malvi,54
cattle\Amritmahal\Amritmahal_3.png,Amritmahal,1
cattle\dagri\image_241x209_56.jpg,dagri,49
cattle\thutho\image_259x194_11 (3).jpg,thutho,59
cattle\Ongole\Ongole_31.jpg,Ongole,31
cattle\Holstein_Friesian\Holstein_Friesian_206.jpg,Holstein_Friesian,13
cattle\Dangi\image_335x150_60.jpg,Dangi,6
cattle\Poda Thirupu\image_300x168_48.jpg,Poda Thirupu,32
cattle\Holstein_Friesian\Holstein_Friesian_41.jpg,Holstein_Friesian,13
cattle\thutho\image_259x194_17.jpg,thutho,59
cattle\Murrah\Murrah_173.jpeg,Murrah,28
cattle\Pulikulam\Pulikulam_19.jpg,Pulikulam,33
cattle\Himachali Pahari\image_194x259_3 (2).jpg,Himachali Pahari,12
cattle\gangatari\image_265x190_23.jpg,gangatari,50
cattle\Red kandhari\Visually_searched_image (2).jpg,Red kandhari,37
cattle\Umblachery\image_259x194_20 (3).jpg,Umblachery,44
cattle\Tharparkar\Tharparkar_105.jpg,Tharparkar,42
cattle\Gir\Gir_131.jpg,Gir,8
cattle\ghumsari\image_200x200_44.jpg,ghumsari,52
cattle\thutho\image_259x194_25.jpg,thutho,59
cattle\Ayrshire\Ayrshire_186.jpg,Ayrshire,2
cattle\motu\image_172x293_58.jpg,motu,55
cattle\bachaur\image_275x183_8.jpg,bachaur,46
cattle\Amritmahal\Amritmahal_41.png,Amritmahal,1
cattle\Vechur\Screenshot (263).png,Vechur,45
cattle\Kankrej\Kankrej_116.jpg,Kankrej,17
cattle\Banni\00000282.jpg,Banni,3
cattle\Umblachery\image_259x194_7 (2).jpg,Umblachery,44
cattle\Pulikulam\Pulikulam_107.jpg,Pulikulam,33
cattle\Purnea\image_275x183_60.jpg,Purnea,35
cattle\Kankrej\Kankrej_40.png,Kankrej,17
cattle\Dangi\image_252x200_20.jpg,Dangi,6
cattle\thutho\image_300x168_53.jpg,thutho,59
cattle\Nari\image_168x300_38.jpg,Nari,30
cattle\Pulikulam\Pulikulam_42.png,Pulikulam,33
cattle\Jersey\Jersey_93.jpg,Jersey,15
cattle\Sahiwal\Sahiwal_136.jpg,Sahiwal,40
cattle\ghumsari\image_300x168_38.jpg,ghumsari,52
cattle\nagori\image_100x100_57.jpg,nagori,56
cattle\ponwar\image_297x170_51.jpg,ponwar,57
cattle\Kankrej\Kankrej_20.png,Kankrej,17
cattle\Nagpuri\Nagpuri_74.jpg,Nagpuri,29
cattle\Purnea\image_259x194_14 (2).jpg,Purnea,35
cattle\Murrah\Murrah_139.jpg,Murrah,28
cattle\malvi\image_194x259_8.jpg,malvi,54
cattle\Shweta Kapila\Visually_searched_image.jpg,Shweta Kapila,41
cattle\Rathi\00000247.jpg,Rathi,36
cattle\ponwar\image_237x212_57.jpg,ponwar,57
cattle\Murrah\Murrah_127.jpeg,Murrah,28
cattle\Kenkatha\image_225x225_33.jpg,Kenkatha,18
cattle\Gir\Gir_117.jpg,Gir,8
cattle\ponwar\image_172x293_64.jpg,ponwar,57
cattle\Holstein_Friesian\Holstein_Friesian_101.jpg,Holstein_Friesian,13
cattle\Khariar\image_259x194_12.jpg,Khariar,19
cattle\Dangi\00000168.jpg,Dangi,6
cattle\Khariar\image_310x162_7.jpg,Khariar,19
cattle\Shweta Kapila\image_259x194_36.jpg,Shweta Kapila,41
cattle\Poda Thirupu\image_259x194_26.jpg,Poda Thirupu,32
cattle\Sahiwal\Sahiwal_245.jpg,Sahiwal,40
cattle\Krishna_Valley\Krishna_Valley_23.jpg,Krishna_Valley,23
cattle\Holstein_Friesian\Holstein_Friesian_125.jpg,Holstein_Friesian,13
cattle\Krishna_Valley\Krishna_Valley_19.jpg,Krishna_Valley,23
cattle\Ayrshire\Ayrshire_191.jpg,Ayrshire,2
cattle\Hallikar\Hallikar_150.jpg,Hallikar,10
cattle\Kangayam\image_225x225_15.jpg,Kangayam,16
cattle\Jaffrabadi\Jaffrabadi_56.jpg,Jaffrabadi,14
cattle\Sahiwal\Sahiwal_342.jpg,Sahiwal,40
cattle\thutho\image_150x150_59.jpg,thutho,59
cattle\Nari\image_168x299_60.jpg,Nari,30
cattle\Amritmahal\image_275x183_61.jpg,Amritmahal,1
cattle\Purnea\image_259x194_19.jpg,Purnea,35
cattle\Nagpuri\Nagpuri_184.png,Nagpuri,29
cattle\Kenkatha\image_259x194_18 (2).jpg,Kenkatha,18
cattle\kherigarh\image_201x251_1.jpg,kherigarh,53
cattle\Kenkatha\image_275x183_57.jpg,Kenkatha,18
cattle\Ladakhi\image_259x194_8 (2).jpg,Ladakhi,24
cattle\Ladakhi\image_246x204_8.jpg,Ladakhi,24
cattle\Sahiwal\Sahiwal_176.jpg,Sahiwal,40
cattle\Himachali Pahari\image_255x198_3.jpg,Himachali Pahari,12
cattle\Hallikar\Hallikar_87.png,Hallikar,10
cattle\ghumsari\image_268x188_4.jpg,ghumsari,52
cattle\Purnea\image_271x186_57.jpg,Purnea,35
cattle\Hariana\Hariana_39.jpg,Hariana,11
cattle\nagori\image_259x194_30.jpg,nagori,56
cattle\motu\image_262x193_1.jpg,motu,55
cattle\Brown_Swiss\Brown_Swiss_125.jpg,Brown_Swiss,5
cattle\Ladakhi\image_100x100_64.jpg,Ladakhi,24
cattle\Jersey\Jersey_9.jpg,Jersey,15
cattle\Amritmahal\Amritmahal_30.png,Amritmahal,1
cattle\Ongole\Ongole_91.png,Ongole,31
cattle\motu\image_259x194_16 (2).jpg,motu,55
cattle\Gir\Gir_328.png,Gir,8
cattle\Mewati\image_194x259_30.jpg,Mewati,27
cattle\Kankrej\Kankrej_2.JPG,Kankrej,17
cattle\gaolao\Gaolao_cow_.jpg,gaolao,51
cattle\Lakhimi\image_225x225_26.jpg,Lakhimi,25
cattle\thutho\image_259x194_18.jpg,thutho,59
cattle\Toda\Toda_41.jpg,Toda,43
cattle\Pulikulam\Pulikulam_59.jpg,Pulikulam,33
cattle\Red_Dane\Red_Dane_76.jpg,Red_Dane,38
cattle\Toda\Toda_9.jpg,Toda,43
cattle\kherigarh\image_225x225_4.jpg,kherigarh,53
cattle\Nagpuri\Nagpuri_146.png,Nagpuri,29
cattle\Sahiwal\Sahiwal_230.jpeg,Sahiwal,40
cattle\motu\image_300x168_44.jpg,motu,55
cattle\Himachali Pahari\image_259x194_14.jpg,Himachali Pahari,12
cattle\Holstein_Friesian\Holstein_Friesian_281.jpg,Holstein_Friesian,13
cattle\Gir\Gir_299.jpg,Gir,8
cattle\Holstein_Friesian\Holstein_Friesian_135.jpg,Holstein_Friesian,13
cattle\kherigarh\image_257x196_2.jpg,kherigarh,53
cattle\Murrah\Murrah_136.jpg,Murrah,28
cattle\Purnea\image_272x185_36 (2).jpg,Purnea,35
cattle\Kosali\image_259x194_12.jpg,Kosali,22
cattle\Red_Sindhi\Red_Sindhi_123.jpeg,Red_Sindhi,39
cattle\Red kandhari\image_275x183_8.jpg,Red kandhari,37
cattle\Shweta Kapila\image_194x259_44.jpg,Shweta Kapila,41
cattle\Alambadi\Alambadi_14.png,Alambadi,0
cattle\Gir\Gir_81.jpg,Gir,8
cattle\bachaur\image_225x225_10.jpg,bachaur,46
cattle\Gir\Gir_110.jpg,Gir,8
cattle\Red kandhari\image_225x225_41.jpg,Red kandhari,37
cattle\Toda\Toda_14.jpg,Toda,43
cattle\Kankrej\Kankrej_84.jpg,Kankrej,17
cattle\Jersey\Jersey_171.jpg,Jersey,15
cattle\Rathi\00000003.jpg,Rathi,36
cattle\gangatari\Punganur_cattle_cattle_farmers_ (2).jpg,gangatari,50
cattle\Umblachery\image_275x183_56.jpg,Umblachery,44
cattle\Amritmahal\image_266x190_26.jpg,Amritmahal,1
cattle\Umblachery\image_176x176_58.jpg,Umblachery,44
cattle\Konkan Kapila\image_194x259_5.jpg,Konkan Kapila,21
cattle\Guernsey\Guernsey_107.jpg,Guernsey,9
cattle\Poda Thirupu\Visually_searched_image (4).jpg,Poda Thirupu,32
cattle\malvi\image_226x223_16.jpg,malvi,54
cattle\Nagpuri\Nagpuri_107.jpg,Nagpuri,29
cattle\Kangayam\Kangayam_14.jpg,Kangayam,16
cattle\Rathi\00000147.jpg,Rathi,36
cattle\Himachali Pahari\image_259x194_16.jpg,Himachali Pahari,12
cattle\Sahiwal\Sahiwal_287.jpg,Sahiwal,40
cattle\Amritmahal\Amritmahal_86.png,Amritmahal,1
cattle\Purnea\image_275x183_46 (2).jpg,Purnea,35
cattle\Krishna_Valley\Krishna_Valley_84.jpg,Krishna_Valley,23
cattle\kherigarh\image_251x201_6.jpg,kherigarh,53
cattle\Nari\image_259x194_43.jpg,Nari,30
cattle\bhelai\ezgif-frame-092.jpg,bhelai,48
cattle\Himachali Pahari\image_242x209_1.jpg,Himachali Pahari,12
cattle\badri\JIVIKA_Premium_A2_Badri_Cow_Ghee_1Litre_.jpg,badri,47
cattle\Sahiwal\Sahiwal_346.png,Sahiwal,40
cattle\Guernsey\Guernsey_118.jpg,Guernsey,9
